epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,88.183,0.89706,0.52298,1.08928,0.85459,0.80539,0.86222,0.55917,1.29575,0.76464,1.37511,0.000181703,0.000181703,0.000181703
92,170.384,0.86008,0.4818,1.0612,0.87092,0.80011,0.87028,0.57189,1.29292,0.74455,1.37935,0.0001652,0.0001652,0.0001652
93,248.875,0.85119,0.48514,1.0651,0.84664,0.80182,0.86538,0.57145,1.28647,0.75513,1.38175,0.000148696,0.000148696,0.000148696
94,326.399,0.83479,0.45636,1.04608,0.88012,0.77877,0.86575,0.57277,1.28556,0.73856,1.39029,0.000132193,0.000132193,0.000132193
95,403.032,0.82498,0.46169,1.04369,0.87538,0.78932,0.86677,0.57301,1.27434,0.73982,1.38628,0.00011569,0.00011569,0.00011569
96,483.915,0.81678,0.44842,1.03657,0.85156,0.81299,0.86951,0.57639,1.27237,0.73991,1.38008,9.91865e-05,9.91865e-05,9.91865e-05
97,566.087,0.8152,0.44847,1.03794,0.84838,0.81704,0.86797,0.57634,1.27052,0.73689,1.37798,8.26832e-05,8.26832e-05,8.26832e-05
98,649.412,0.79502,0.43531,1.02399,0.84754,0.82119,0.86838,0.57561,1.26921,0.73644,1.37459,6.61799e-05,6.61799e-05,6.61799e-05
99,729.519,0.79771,0.43761,1.02766,0.85104,0.81905,0.8707,0.57736,1.26775,0.72907,1.38046,4.96766e-05,4.96766e-05,4.96766e-05
100,812.325,0.79656,0.43355,1.03001,0.8507,0.80835,0.86884,0.57817,1.27067,0.72954,1.38703,3.31733e-05,3.31733e-05,3.31733e-05
